No.,Symbol,Company Name,Stock Price,% Change,Volume,Market Cap
123,BLNK,Blink Charging Co.,1.55,-2.52%,"3,864,285",156.82M
124,UOKA,MDJM Ltd,0.24,-9.81%,"3,862,266",3.75M
125,PTPI,"Petros Pharmaceuticals, Inc.",0.33,-5.83%,"3,853,286",3.30M
126,SVC,Service Properties Trust,2.51,-3.09%,"3,831,010",418.29M
127,DDD,3D Systems Corporation,3.97,-2.93%,"3,790,224",538.41M
128,ZOM,Zomedica Corp.,0.12,-0.08%,"3,746,902",120.53M
129,SID,Companhia Siderúrgica Nacional,1.76,-5.38%,"3,743,387",2.34B
130,WTO,UTime Limited,0.28,-33.33%,"3,729,184",7.20M
131,CRDF,"Cardiff Oncology, Inc.",3.92,19.88%,"3,707,951",200.44M
132,BAK,Braskem S.A.,4.27,-10.67%,"3,697,509",1.72B
133,XFOR,"X4 Pharmaceuticals, Inc.",0.67,11.61%,"3,663,634",114.30M
134,PSNY,Polestar Automotive Holding UK PLC,1.02,-0.97%,"3,628,709",2.15B
135,RVNC,"Revance Therapeutics, Inc.",3.08,-0.32%,"3,551,341",323.10M
136,SYRS,"Syros Pharmaceuticals, Inc.",0.21,-12.13%,"3,520,322",5.56M
137,ALLO,"Allogene Therapeutics, Inc.",1.89,-6.44%,"3,475,107",396.28M
138,TGB,Taseko Mines Limited,2.08,-0.48%,"3,380,418",633.15M
139,CYH,"Community Health Systems, Inc.",3.47,0.58%,"3,343,928",459.41M
140,SANA,"Sana Biotechnology, Inc.",1.89,-7.35%,"3,339,196",421.98M
141,LITM,Snow Lake Resources Ltd.,0.16,3.80%,"3,272,227",4.69M
142,HPP,"Hudson Pacific Properties, Inc.",3.29,-0.30%,"3,225,663",476.13M
143,ABCL,AbCellera Biologics Inc.,2.81,-4.75%,"3,218,326",829.98M
144,NIVF,NewGenIvf Group Limited,0.32,-16.43%,"3,177,072",4.31M
145,JMIA,Jumia Technologies AG,4.35,-6.25%,"3,161,324",532.71M
146,SVRA,Savara Inc.,3.21,-4.18%,"3,153,423",550.90M
147,IDAI,T Stamp Inc.,0.37,-11.96%,"3,113,673",8.66M
148,OPK,"OPKO Health, Inc.",1.59,-1.24%,"3,042,605",1.07B
149,ADAP,Adaptimmune Therapeutics plc,0.58,-8.14%,"3,032,962",148.44M
150,GEVO,"Gevo, Inc.",1.54,1.99%,"3,025,477",356.03M
151,EFSH,1847 Holdings LLC,0.26,-3.73%,"3,005,202",4.32M
152,PL,Planet Labs PBC,4.01,3.08%,"2,998,878",1.19B
153,SHLS,"Shoals Technologies Group, Inc.",4.41,-,"2,955,605",735.14M
154,BLND,"Blend Labs, Inc.",4.92,-3.15%,"2,932,582",1.26B
155,LYEL,"Lyell Immunopharma, Inc.",0.67,-11.37%,"2,922,967",188.14M
156,KIND,"Nextdoor Holdings, Inc.",2.52,-1.18%,"2,900,457",963.00M
157,RLX,RLX Technology Inc.,2.00,-,"2,898,470",2.54B
158,AMPX,"Amprius Technologies, Inc.",1.71,-3.39%,"2,892,731",180.98M
159,LCTX,"Lineage Cell Therapeutics, Inc.",0.51,-2.69%,"2,863,468",111.53M
160,ORKT,Orangekloud Technology Inc.,3.10,-12.92%,"2,855,466",70.53M
161,AGL,"agilon health, inc.",2.24,0.90%,"2,832,866",922.92M
162,JZXN,"Jiuzi Holdings, Inc.",1.78,-14.42%,"2,830,379",18.53M
163,NKTX,"Nkarta, Inc.",2.34,2.18%,"2,806,137",165.13M
164,TNGX,"Tango Therapeutics, Inc.",3.06,7.37%,"2,795,689",328.70M
165,WW,"WW International, Inc.",1.35,-8.78%,"2,786,181",107.82M
166,PSEC,Prospect Capital Corporation,4.50,0.45%,"2,722,386",1.96B
167,HTZ,"Hertz Global Holdings, Inc.",4.22,-1.40%,"2,718,369",1.29B
168,FATE,"Fate Therapeutics, Inc.",1.83,-4.94%,"2,675,990",208.43M
169,NOTE,"FiscalNote Holdings, Inc.",1.08,19.95%,"2,662,806",152.51M
170,FFIE,Faraday Future Intelligent Electric Inc.,1.24,5.98%,"2,620,834",56.21M
171,ISPC,iSpecimen Inc.,2.92,-15.36%,"2,616,924",2.81M
172,ITRM,Iterum Therapeutics plc,1.80,-9.09%,"2,559,207",49.53M
173,CHRS,"Coherus BioSciences, Inc.",1.61,7.33%,"2,540,842",185.49M
174,NAK,Northern Dynasty Minerals Ltd.,0.50,-3.55%,"2,525,743",271.97M
175,EQC,Equity Commonwealth,1.69,1.81%,"2,516,739",181.66M
176,MHUA,"Meihua International Medical Technologies Co., Ltd.",0.50,-13.20%,"2,487,754",13.07M
177,CMRX,"Chimerix, Inc.",2.95,0.34%,"2,487,540",265.31M
178,LODE,Comstock Inc.,0.38,-0.31%,"2,481,360",81.00M
179,SVM,Silvercorp Metals Inc.,3.05,-2.87%,"2,444,399",666.29M
180,GOSS,"Gossamer Bio, Inc.",0.93,2.20%,"2,434,961",210.74M
181,VUZI,Vuzix Corporation,3.16,-5.11%,"2,434,384",232.62M
182,SNDL,SNDL Inc.,1.78,-2.20%,"2,426,021",472.59M
183,MULN,"Mullen Automotive, Inc.",1.58,-9.20%,"2,401,552",13.95M
184,ABSI,Absci Corporation,3.70,0.41%,"2,398,682",424.39M
185,CIG,Companhia Energética de Minas Gerais - CEMIG,1.89,-0.53%,"2,393,521",5.93B
186,API,"Agora, Inc.",4.81,-8.38%,"2,387,389",442.52M
187,SFHG,Samfine Creation Holdings Group Limited,1.17,-7.14%,"2,373,560",23.75M
188,SES,SES AI Corporation,0.41,-1.21%,"2,365,544",147.62M
189,INDI,"indie Semiconductor, Inc.",4.43,-0.45%,"2,352,163",894.49M
190,MGX,"Metagenomi, Inc.",3.24,-16.06%,"2,337,948",121.25M
191,HRTX,"Heron Therapeutics, Inc.",1.60,-,"2,337,535",243.35M
192,XERS,"Xeris Biopharma Holdings, Inc.",3.28,-3.53%,"2,331,623",488.99M
193,FREY,"FREYR Battery, Inc.",1.71,3.01%,"2,296,824",240.24M
194,IAUX,i-80 Gold Corp.,0.53,-4.79%,"2,290,727",218.94M
195,QRTEA,"Qurate Retail, Inc.",0.37,1.97%,"2,282,563",145.80M
196,UGP,Ultrapar Participações S.A.,2.81,-4.10%,"2,266,952",3.03B
197,URG,Ur-Energy Inc.,1.22,-3.17%,"2,255,900",439.89M
198,SAVA,"Cassava Sciences, Inc.",2.75,-1.43%,"2,254,196",132.30M
199,ATUS,"Altice USA, Inc.",2.68,2.68%,"2,245,215",1.24B
200,MTTR,"Matterport, Inc.",4.95,-,"2,231,186",1.58B
201,BCTX,BriaCell Therapeutics Corp.,0.66,-0.18%,"2,199,442",23.91M
202,BFLY,"Butterfly Network, Inc.",3.39,-4.24%,"2,194,964",722.28M
203,PDYN,Palladyne AI Corp.,3.47,-2.25%,"2,164,383",104.49M
204,SOAR,"Volato Group, Inc.",0.27,-0.37%,"2,148,808",7.91M
205,WIT,Wipro Limited,3.67,0.82%,"2,130,400",38.20B
206,MCRB,"Seres Therapeutics, Inc.",0.88,2.10%,"2,120,713",150.01M
207,GWAV,"Greenwave Technology Solutions, Inc.",0.70,2.58%,"2,109,637",15.69M
208,NAT,Nordic American Tankers Limited,2.64,1.15%,"2,086,378",551.22M
209,SLI,Standard Lithium Ltd.,1.48,-5.13%,"2,069,691",283.08M
210,NKTR,Nektar Therapeutics,1.01,1.00%,"2,053,877",186.30M
211,TTOO,"T2 Biosystems, Inc.",0.37,-18.87%,"2,044,086",7.68M
212,OLPX,"Olaplex Holdings, Inc.",2.10,1.94%,"2,034,314",1.39B
213,HAO,Haoxi Health Technology Limited,0.13,-5.04%,"2,021,342",4.78M
214,CLNE,Clean Energy Fuels Corp.,2.77,-,"2,004,520",618.97M
215,LPSN,"LivePerson, Inc.",0.80,-4.12%,"1,995,790",72.48M
216,GNPX,"Genprex, Inc.",1.16,9.43%,"1,951,963",9.87M
217,TV,"Grupo Televisa, S.A.B.",1.97,-,"1,951,363",1.04B
218,SAN,"Banco Santander, S.A.",4.91,1.24%,"1,934,103",74.59B
219,PALI,"Palisade Bio, Inc.",1.77,-25.00%,"1,873,687",2.35M
220,TPST,"Tempest Therapeutics, Inc.",0.80,-4.15%,"1,863,892",34.91M
221,ICCT,iCoreConnect Inc.,0.16,-3.69%,"1,861,369",3.94M
222,QTTB,Q32 Bio Inc.,3.70,-12.94%,"1,849,092",45.07M
223,BIVI,BioVie Inc.,2.64,1.93%,"1,846,139",46.84M
224,IMRX,Immuneering Corporation,1.64,-17.01%,"1,831,832",50.77M
225,CNSP,"CNS Pharmaceuticals, Inc.",0.10,-2.92%,"1,799,449",5.92M
226,POET,POET Technologies Inc.,4.25,-2.30%,"1,794,584",300.99M
227,INTR,"Inter & Co, Inc.",4.63,2.66%,"1,781,583",2.03B
228,WTI,"W&T Offshore, Inc.",1.70,-3.41%,"1,770,650",250.51M
229,SYTA,Siyata Mobile Inc.,0.86,4.87%,"1,743,016",3.43M
230,AKBA,"Akebia Therapeutics, Inc.",1.85,1.65%,"1,742,662",403.64M
231,RLAY,"Relay Therapeutics, Inc.",4.71,-1.46%,"1,740,591",788.37M
232,ORIS,Oriental Rise Holdings Limited,1.79,-14.76%,"1,729,608",39.40M
233,TANH,Tantech Holdings Ltd,0.15,-2.42%,"1,718,842",1.25M
234,PGEN,"Precigen, Inc.",0.68,-5.15%,"1,699,934",197.77M
235,GNS,Genius Group Limited,0.71,0.21%,"1,678,885",14.34M
236,AEHL,Antelope Enterprise Holdings Limited,0.18,-8.77%,"1,633,907",2.66M
237,STRO,"Sutro Biopharma, Inc.",2.12,-3.64%,"1,632,613",174.81M
238,CCCC,"C4 Therapeutics, Inc.",4.38,1.39%,"1,619,667",309.18M
239,CLDI,"Calidi Biotherapeutics, Inc.",1.85,-1.07%,"1,617,235",35.73M
240,UROY,Uranium Royalty Corp.,2.32,-4.13%,"1,613,768",310.60M
241,HUMA,"Humacyte, Inc.",4.10,0.49%,"1,609,949",527.54M
242,SLS,"SELLAS Life Sciences Group, Inc.",0.87,1.34%,"1,609,889",61.38M
243,BRFS,BRF S.A.,4.62,-0.65%,"1,595,932",7.50B
244,APPS,"Digital Turbine, Inc.",1.43,0.70%,"1,595,085",148.33M
245,BNOX,Bionomics Limited,0.32,6.99%,"1,588,203",6.31M
246,BZFD,"BuzzFeed, Inc.",3.33,-6.86%,"1,573,852",126.35M
247,CRNT,Ceragon Networks Ltd.,4.79,1.05%,"1,572,461",411.32M
248,ORGN,"Origin Materials, Inc.",1.15,3.60%,"1,563,248",164.74M
249,VRAR,"The Glimpse Group, Inc.",1.23,-4.65%,"1,557,752",22.35M
250,BNGO,"Bionano Genomics, Inc.",0.24,1.39%,"1,554,293",24.47M
251,PEPG,PepGen Inc.,4.68,-9.30%,"1,542,800",152.55M
252,ANGI,Angi Inc.,1.77,-3.80%,"1,533,873",880.17M
253,GSM,Ferroglobe PLC,4.17,-2.80%,"1,525,886",783.48M
254,CRON,Cronos Group Inc.,1.93,-1.53%,"1,519,843",733.09M
255,AMRN,Amarin Corporation plc,0.46,-1.06%,"1,507,509",187.28M
256,GOTU,Gaotu Techedu Inc.,2.46,-1.60%,"1,486,092",625.66M
257,MAPS,"WM Technology, Inc.",1.24,-8.15%,"1,465,069",207.75M
258,ERAS,"Erasca, Inc.",2.56,-2.66%,"1,463,493",723.78M
259,ADCT,ADC Therapeutics SA,1.89,-4.55%,"1,444,849",182.74M
260,VZLA,Vizsla Silver Corp.,1.82,-,"1,441,141",509.08M
261,KPTI,Karyopharm Therapeutics Inc.,0.70,-3.31%,"1,432,305",87.72M
262,KOPN,Kopin Corporation,1.09,3.81%,"1,428,426",167.09M
263,VERI,"Veritone, Inc.",2.59,6.58%,"1,418,488",99.23M
264,WKHS,Workhorse Group Inc.,1.00,-2.91%,"1,415,240",40.98M
265,MTA,Metalla Royalty & Streaming Ltd.,2.74,1.11%,"1,392,845",260.67M
266,AUMN,Golden Minerals Company,0.12,-18.50%,"1,392,174",1.82M
267,IRWD,"Ironwood Pharmaceuticals, Inc.",3.53,-0.84%,"1,372,872",564.90M
268,LAB,Standard BioTools Inc.,1.91,-0.52%,"1,353,195",711.01M
269,CATX,"Perspective Therapeutics, Inc.",3.49,0.43%,"1,352,151",235.20M
270,EAF,GrafTech International Ltd.,2.03,5.73%,"1,351,569",522.05M
271,PWM,Prestige Wealth Inc.,1.70,14.86%,"1,349,162",24.83M
272,KNW,"Know Labs, Inc.",0.21,-11.25%,"1,348,592",23.02M
273,PSQH,"PSQ Holdings, Inc.",4.29,3.87%,"1,346,232",182.65M
274,LGHL,Lion Group Holding Ltd.,0.13,-15.16%,"1,343,528",904.04K
275,ICCM,IceCure Medical Ltd,1.07,13.83%,"1,340,023",58.61M
276,ANNX,"Annexon, Inc.",4.44,-1.55%,"1,322,999",473.28M
277,VNET,"VNET Group, Inc.",3.99,-2.92%,"1,322,251",1.07B
278,GTN,"Gray Television, Inc.",3.72,-2.62%,"1,313,910",354.78M
279,OTLY,Oatly Group AB,0.69,-1.22%,"1,305,218",411.31M
280,CABA,"Cabaletta Bio, Inc.",2.82,-4.08%,"1,302,656",137.83M
281,ALEC,"Alector, Inc.",1.97,-3.43%,"1,296,540",192.93M
282,DGHI,Digihost Technology Inc.,1.73,-8.95%,"1,290,627",58.90M
283,AMLI,American Lithium Corp.,0.39,-5.54%,"1,282,772",88.73M
284,EGHT,"8x8, Inc.",2.63,-15.87%,"1,278,222",342.98M
285,CRBU,"Caribou Biosciences, Inc.",1.91,-1.55%,"1,276,705",172.96M
286,ASST,Asset Entities Inc.,0.53,-4.00%,"1,273,663",3.10M
287,SEAT,Vivid Seats Inc.,3.49,3.56%,"1,270,593",725.03M
288,ETWO,"E2open Parent Holdings, Inc.",2.96,-1.66%,"1,266,937",1.01B
